id|data_inversa|dia_semana|horario|uf|br|municipio|causa_acidente|tipo_acidente|classificacao_acidente|fase_dia|condicao_metereologica|pessoas|mortos|feridos_leves|feridos_graves
260031|2020-01-01|quarta-feira|01:00:00|TO|153.0|GURUPI|Animais na Pista|Atropelamento de Animal|Com Vítimas Feridas|Plena Noite|Nublado|5|0|0|5
260036|2020-01-01|quarta-feira|01:00:00|RJ|116.0|NOVA IGUACU|Falta de Atenção do Pedestre|Atropelamento de Pedestre|Com Vítimas Fatais|Plena Noite|Céu Claro|2|1|0|0
260037|2020-01-01|quarta-feira|01:52:00|SC|101.0|SAO JOSE|Ingestão de Álcool|Colisão lateral|Com Vítimas Feridas|Plena Noite|Nublado|2|0|1|0
260038|2020-01-01|quarta-feira|01:15:00|RO|364.0|CACOAL|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Plena Noite|Nublado|1|0|0|1
260039|2020-01-01|quarta-feira|01:30:00|PR|153.0|REBOUCAS|Ingestão de Álcool|Capotamento|Com Vítimas Feridas|Plena Noite|Garoa/Chuvisco|6|0|2|4
260040|2020-01-01|quarta-feira|00:40:00|RO|319.0|PORTO VELHO|Ingestão de Álcool|Colisão transversal|Sem Vítimas|Plena Noite|Céu Claro|2|0|0|0
260041|2020-01-01|quarta-feira|02:20:00|SC|101.0|BARRA VELHA|Falta de Atenção à Condução|Colisão com objeto estático|Sem Vítimas|Plena Noite|Garoa/Chuvisco|1|0|0|0
260042|2020-01-01|quarta-feira|02:15:00|PR|369.0|LONDRINA|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Plena Noite|Céu Claro|3|0|1|0
260043|2020-01-01|quarta-feira|02:30:00|AL|104.0|UNIAO DOS PALMARES|Animais na Pista|Atropelamento de Animal|Com Vítimas Fatais|Plena Noite|Nublado|1|1|0|0
260044|2020-01-01|quarta-feira|00:20:00|RS|290.0|PORTO ALEGRE|Falta de Atenção à Condução|Tombamento|Com Vítimas Feridas|Plena Noite|Céu Claro|2|0|2|0
260045|2020-01-01|quarta-feira|02:50:00|SC|470.0|IBIRAMA|Condutor Dormindo|Colisão frontal|Com Vítimas Feridas|Plena Noite|Nublado|4|0|2|2
260046|2020-01-01|quarta-feira|02:15:00|SC|282.0|XANXERE|Animais na Pista|Saída de leito carroçável|Com Vítimas Feridas|Plena Noite|Céu Claro|3|0|0|1
260050|2020-01-01|quarta-feira|03:40:00|PE|101.0|ABREU E LIMA|Falta de Atenção à Condução|Colisão lateral|Com Vítimas Feridas|Plena Noite|Céu Claro|4|0|0|2
260051|2020-01-01|quarta-feira|02:30:00|MT|364.0|SAO PEDRO DA CIPA|Falta de Atenção à Condução|Queda de ocupante de veículo|Com Vítimas Feridas|Plena Noite|Céu Claro|2|0|2|0
260052|2020-01-01|quarta-feira|03:10:00|BA|101.0|FEIRA DE SANTANA|Animais na Pista|Atropelamento de Animal|Com Vítimas Feridas|Plena Noite|Nublado|2|0|1|1
260053|2020-01-01|quarta-feira|04:00:00|SC|101.0|BALNEARIO CAMBORIU|Falta de Atenção do Pedestre|Atropelamento de Pedestre|Com Vítimas Fatais|Plena Noite|Céu Claro|2|1|0|0
260054|2020-01-01|quarta-feira|00:05:00|AP|156.0|FERREIRA GOMES|Animais na Pista|Atropelamento de Animal|Sem Vítimas|Plena Noite|Céu Claro|1|0|0|0
260055|2020-01-01|quarta-feira|03:20:00|GO|60.0|GOIANIA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Amanhecer|Nublado|4|0|4|0
260057|2020-01-01|quarta-feira|04:55:00|DF|20.0|BRASILIA|Ingestão de Álcool|Atropelamento de Pedestre|Com Vítimas Feridas|Amanhecer|Garoa/Chuvisco|3|0|2|0
260060|2020-01-01|quarta-feira|05:00:00|SP|116.0|PINDAMONHANGABA|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Feridas|Amanhecer|Céu Claro|2|0|2|0
260061|2020-01-01|quarta-feira|03:00:00|BA|324.0|SALVADOR|Falta de Atenção à Condução|Queda de ocupante de veículo|Com Vítimas Feridas|Plena Noite|Nublado|2|0|2|0
260063|2020-01-01|quarta-feira|03:30:00|SC|101.0|PAULO LOPES|Ingestão de Álcool|Colisão lateral|Sem Vítimas|Plena Noite|Céu Claro|5|0|0|0
260064|2020-01-01|quarta-feira|05:45:00|PB|101.0|MAMANGUAPE|Ingestão de Álcool|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
260065|2020-01-01|quarta-feira|06:00:00|PR|373.0|IPIRANGA|Condutor Dormindo|Colisão com objeto estático|Com Vítimas Feridas|Amanhecer|Céu Claro|4|0|2|2
260066|2020-01-01|quarta-feira|02:45:00|PI|407.0|GEMINIANO|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|0|1
260067|2020-01-01|quarta-feira|06:00:00|MG|381.0|PERDOES|Ingestão de Álcool|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|4|0|4|0
260068|2020-01-01|quarta-feira|05:40:00|PA|316.0|SAO FRANCISCO DO PARA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|2|0
260069|2020-01-01|quarta-feira|05:45:00|SP|153.0|JOSE BONIFACIO|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|5|0|3|0
260070|2020-01-01|quarta-feira|06:15:00|AL|101.0|MATRIZ DE CAMARAGIBE|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|2|0
260071|2020-01-01|quarta-feira|06:20:00|GO|153.0|PIRENOPOLIS|Ingestão de Álcool|Saída de leito carroçável|Com Vítimas Feridas|Amanhecer|Nublado|2|0|2|0
260073|2020-01-01|quarta-feira|06:00:00|MG|262.0|UBERABA|Falta de Atenção à Condução|Colisão transversal|Com Vítimas Feridas|Pleno dia|Céu Claro|4|0|1|0
260074|2020-01-01|quarta-feira|05:50:00|RN|101.0|NATAL|Pista Escorregadia|Queda de ocupante de veículo|Com Vítimas Feridas|Pleno dia|Nublado|2|0|1|0
260075|2020-01-01|quarta-feira|05:30:00|MG|381.0|RIO MANSO|Condutor Dormindo|Capotamento|Sem Vítimas|Amanhecer|Céu Claro|1|0|0|0
260076|2020-01-01|quarta-feira|07:00:00|SC|101.0|PORTO BELO|Falta de Atenção à Condução|Tombamento|Com Vítimas Feridas|Pleno dia|Sol|1|0|1|0
260077|2020-01-01|quarta-feira|06:40:00|GO|40.0|LUZIANIA|Falta de Atenção à Condução|Colisão com objeto estático|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
260078|2020-01-01|quarta-feira|06:00:00|MG|381.0|NOVA ERA|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Amanhecer|Céu Claro|1|0|1|0
260080|2020-01-01|quarta-feira|01:50:00|RJ|116.0|TERESOPOLIS|Desobediência às normas de trânsito pelo condutor|Colisão lateral|Com Vítimas Feridas|Plena Noite|Céu Claro|6|0|1|1
260081|2020-01-01|quarta-feira|06:17:00|RO|364.0|PIMENTA BUENO|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Amanhecer|Chuva|2|0|0|1
260083|2020-01-01|quarta-feira|04:40:00|SP|116.0|MIRACATU|Ingestão de Álcool|Colisão traseira|Com Vítimas Feridas|Amanhecer|Nublado|3|0|2|0
260084|2020-01-01|quarta-feira|03:45:00|RJ|101.0|ANGRA DOS REIS|Condutor Dormindo|Colisão frontal|Com Vítimas Feridas|Plena Noite|Céu Claro|7|0|4|0
260085|2020-01-01|quarta-feira|05:00:00|RS|470.0|BARRACAO|Condutor Dormindo|Saída de leito carroçável|Sem Vítimas|Amanhecer|Céu Claro|1|0|0|0
260086|2020-01-01|quarta-feira|05:20:00|PR|376.0|GUARATUBA|Ingestão de Álcool|Capotamento|Sem Vítimas|Amanhecer|Céu Claro|1|0|0|0
260087|2020-01-01|quarta-feira|06:00:00|BA|116.0|CANUDOS|Condutor Dormindo|Saída de leito carroçável|Com Vítimas Fatais|Pleno dia|Nublado|1|1|0|0
260088|2020-01-01|quarta-feira|07:20:00|RN|101.0|NATAL|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Fatais|Pleno dia|Céu Claro|2|1|0|1
260090|2020-01-01|quarta-feira|07:15:00|RS|392.0|RIO GRANDE|Falta de Atenção à Condução|Colisão com objeto estático|Sem Vítimas|Pleno dia|Nublado|1|0|0|0
260092|2020-01-01|quarta-feira|06:25:00|RJ|101.0|ITABORAI|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Amanhecer|Sol|2|0|1|0
260094|2020-01-01|quarta-feira|07:40:00|DF|20.0|BRASILIA|Mal Súbito|Saída de leito carroçável|Com Vítimas Fatais|Pleno dia|Céu Claro|1|1|0|0
260095|2020-01-01|quarta-feira|05:10:00|MS|163.0|RIO VERDE DE MATO GROSSO|Ingestão de Álcool|Saída de leito carroçável|Com Vítimas Feridas|Amanhecer|Céu Claro|1|0|1|0
260096|2020-01-01|quarta-feira|08:10:00|CE|116.0|AQUIRAZ|Pista Escorregadia|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|2|0|2|0
260098|2020-01-01|quarta-feira|07:40:00|GO|153.0|GOIANIA|Ingestão de Álcool|Colisão com objeto estático|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
260099|2020-01-01|quarta-feira|07:20:00|RJ|116.0|BELFORD ROXO|Ingestão de Álcool|Colisão com objeto estático|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
260100|2020-01-01|quarta-feira|06:30:00|RO|364.0|JI-PARANA|Falta de Atenção à Condução|Tombamento|Com Vítimas Feridas|Pleno dia|Nublado|1|0|0|1
260101|2020-01-01|quarta-feira|08:40:00|MG|381.0|BETIM|Velocidade Incompatível|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Sol|1|0|1|0
260103|2020-01-01|quarta-feira|08:15:00|GO|40.0|CRISTALINA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Nublado|2|0|2|0
260105|2020-01-01|quarta-feira|08:00:00|RS|470.0|TRIUNFO|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Nublado|2|0|0|2
260107|2020-01-01|quarta-feira|09:05:00|PR|153.0|SANTO ANTONIO DA PLATINA|Avarias e/ou desgaste excessivo no pneu|Queda de ocupante de veículo|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
260108|2020-01-01|quarta-feira|05:30:00|MG|459.0|POUSO ALEGRE|Velocidade Incompatível|Colisão traseira|Com Vítimas Feridas|Amanhecer|Nublado|2|0|1|0
260110|2020-01-01|quarta-feira|09:20:00|PR|277.0|MORRETES|Falta de Atenção à Condução|Queda de ocupante de veículo|Com Vítimas Feridas|Pleno dia|Sol|1|0|1|0
260112|2020-01-01|quarta-feira|05:30:00|MT|163.0|GUARANTA DO NORTE|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Amanhecer|Chuva|3|0|1|1
260113|2020-01-01|quarta-feira|07:30:00|RO|364.0|PORTO VELHO|Avarias e/ou desgaste excessivo no pneu|Tombamento|Com Vítimas Feridas|Pleno dia|Garoa/Chuvisco|1|0|0|1
260114|2020-01-01|quarta-feira|10:05:00|DF|40.0|BRASILIA|Condutor Dormindo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
260115|2020-01-01|quarta-feira|09:50:00|MG|40.0|BARBACENA|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
260116|2020-01-01|quarta-feira|10:08:00|SP|116.0|APARECIDA|Não guardar distância de segurança|Colisão traseira|Com Vítimas Feridas|Pleno dia|Sol|3|0|2|0
260117|2020-01-01|quarta-feira|05:00:00|PA|308.0|TRACUATEUA|Deficiência ou não Acionamento do Sistema de Iluminação/Sinalização do Veículo|Colisão traseira|Com Vítimas Fatais|Plena Noite|Nublado|4|2|1|0
260118|2020-01-01|quarta-feira|09:30:00|RJ|101.0|CAMPOS DOS GOYTACAZES|Condutor Dormindo|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
260119|2020-01-01|quarta-feira|09:50:00|SP|101.0|UBATUBA|Ingestão de Álcool|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|4|0|2|0
260120|2020-01-01|quarta-feira|09:20:00|MA|10.0|IMPERATRIZ|Ingestão de Álcool|Colisão traseira|Com Vítimas Feridas|Pleno dia|Nublado|4|0|0|2
260121|2020-01-01|quarta-feira|10:55:00|PB|230.0|CALDAS BRANDAO|Ingestão de Álcool|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Sol|1|0|1|0
260122|2020-01-01|quarta-feira|08:30:00|GO|153.0|APARECIDA DE GOIANIA|Condutor Dormindo|Colisão com objeto estático|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
260123|2020-01-01|quarta-feira|11:40:00|MG|262.0|MATEUS LEME|Ingestão de álcool e/ou substâncias psicoativas pelo pedestre|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Sol|2|0|0|2
260124|2020-01-01|quarta-feira|11:50:00|CE|222.0|FORQUILHA|Velocidade Incompatível|Colisão lateral|Com Vítimas Feridas|Pleno dia|Céu Claro|4|0|2|0
260125|2020-01-01|quarta-feira|12:10:00|SP|381.0|ATIBAIA|Velocidade Incompatível|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
260126|2020-01-01|quarta-feira|08:40:00|PE|104.0|CARUARU|Ingestão de Álcool|Capotamento|Com Vítimas Feridas|Pleno dia|Chuva|1|0|1|0
260128|2020-01-01|quarta-feira|12:00:00|PB|230.0|SANTA RITA|Defeito Mecânico no Veículo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Nublado|2|0|1|1
260129|2020-01-01|quarta-feira|12:10:00|MG|262.0|JUATUBA|Condutor Dormindo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
260130|2020-01-01|quarta-feira|12:25:00|RS|116.0|CRISTAL|Falta de Atenção à Condução|Colisão frontal|Com Vítimas Feridas|Pleno dia|Nublado|4|0|2|0
260132|2020-01-01|quarta-feira|13:15:00|SP|101.0|UBATUBA|Desobediência às normas de trânsito pelo condutor|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|0|1
260133|2020-01-01|quarta-feira|12:30:00|ES|101.0|SOORETAMA|Ultrapassagem Indevida|Colisão frontal|Com Vítimas Feridas|Pleno dia|Sol|2|0|0|1
260134|2020-01-01|quarta-feira|13:15:00|PE|232.0|SERRA TALHADA|Desobediência às normas de trânsito pelo condutor|Colisão frontal|Com Vítimas Feridas|Pleno dia|Sol|2|0|0|1
260135|2020-01-01|quarta-feira|13:20:00|MG|381.0|POUSO ALEGRE|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|2|0
260136|2020-01-01|quarta-feira|08:48:00|MG|50.0|UBERABA|Ingestão de Álcool|Saída de leito carroçável|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
260137|2020-01-01|quarta-feira|12:45:00|SP|381.0|MAIRIPORA|Falta de Atenção à Condução|Colisão com objeto estático|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
260139|2020-01-01|quarta-feira|12:00:00|MT|163.0|SORRISO|Ingestão de álcool e/ou substâncias psicoativas pelo pedestre|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|3|0|0|2
260140|2020-01-01|quarta-feira|13:55:00|PR|277.0|MORRETES|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Sol|2|0|1|0
260141|2020-01-01|quarta-feira|14:00:00|SP|116.0|EMBU DAS ARTES|Falta de Atenção à Condução|Queda de ocupante de veículo|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
260142|2020-01-01|quarta-feira|13:30:00|MG|153.0|CENTRALINA|Defeito Mecânico no Veículo|Incêndio|Sem Vítimas|Pleno dia|Céu Claro|2|0|0|0
260143|2020-01-01|quarta-feira|14:00:00|CE|222.0|CAUCAIA|Falta de Atenção do Pedestre|Atropelamento de Pedestre|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
260144|2020-01-01|quarta-feira|14:40:00|PR|376.0|PONTA GROSSA|Condutor Dormindo|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|0|1
260145|2020-01-01|quarta-feira|13:00:00|MS|163.0|CAARAPO|Falta de Atenção à Condução|Capotamento|Com Vítimas Feridas|Pleno dia|Céu Claro|3|0|2|0
260146|2020-01-01|quarta-feira|14:20:00|RS|153.0|SEVERIANO DE ALMEIDA|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|4|0|2|1
260147|2020-01-01|quarta-feira|14:15:00|PR|116.0|CAMPINA GRANDE DO SUL|Velocidade Incompatível|Colisão com objeto estático|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
260148|2020-01-01|quarta-feira|15:20:00|TO|153.0|GURUPI|Ultrapassagem Indevida|Colisão lateral|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
260150|2020-01-01|quarta-feira|14:40:00|RJ|356.0|ITAPERUNA|Defeito Mecânico no Veículo|Colisão frontal|Com Vítimas Feridas|Pleno dia|Céu Claro|4|0|2|0
260151|2020-01-01|quarta-feira|13:15:00|PR|153.0|TIBAGI|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|1|0|1|0
260152|2020-01-01|quarta-feira|15:00:00|SP|116.0|BARRA DO TURVO|Velocidade Incompatível|Capotamento|Com Vítimas Feridas|Pleno dia|Chuva|4|0|1|0
260153|2020-01-01|quarta-feira|15:10:00|PR|277.0|VIRMOND|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|4|0|2|0
260154|2020-01-01|quarta-feira|15:40:00|PR|277.0|BALSA NOVA|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|2|0|1|0
260155|2020-01-01|quarta-feira|13:50:00|RO|319.0|PORTO VELHO|Falta de Atenção à Condução|Colisão lateral|Com Vítimas Feridas|Pleno dia|Chuva|2|0|1|0
260156|2020-01-01|quarta-feira|15:40:00|DF|70.0|BRASILIA|Desobediência às normas de trânsito pelo condutor|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Nublado|3|0|1|0
260157|2020-01-01|quarta-feira|15:30:00|SC|101.0|BALNEARIO CAMBORIU|Defeito Mecânico no Veículo|Colisão frontal|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
260158|2020-01-01|quarta-feira|15:50:00|MG|40.0|JUIZ DE FORA|Velocidade Incompatível|Queda de ocupante de veículo|Com Vítimas Feridas|Pleno dia|Nublado|2|0|2|0
260159|2020-01-01|quarta-feira|15:30:00|SC|101.0|PALHOCA|Falta de Atenção à Condução|Tombamento|Com Vítimas Feridas|Pleno dia|Nublado|2|0|2|0
260160|2020-01-01|quarta-feira|15:50:00|SC|101.0|PALHOCA|Falta de Atenção à Condução|Tombamento|Com Vítimas Feridas|Pleno dia|Garoa/Chuvisco|1|0|0|1
260161|2020-01-01|quarta-feira|14:25:00|MT|364.0|ALTO GARCAS|Defeito Mecânico no Veículo|Incêndio|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
260162|2020-01-01|quarta-feira|14:45:00|RJ|493.0|ITABORAI|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
260163|2020-01-01|quarta-feira|16:20:00|RJ|393.0|VASSOURAS|Falta de Atenção à Condução|Colisão frontal|Com Vítimas Feridas|Pleno dia|Chuva|2|0|1|0
260164|2020-01-01|quarta-feira|14:30:00|MG|365.0|CLARO DOS POCOES|Avarias e/ou desgaste excessivo no pneu|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|2|0|2|0
260165|2020-01-01|quarta-feira|14:50:00|MT|163.0|NOVA MUTUM|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|4|0|3|1
260166|2020-01-01|quarta-feira|16:25:00|SC|101.0|BIGUACU|Defeito Mecânico no Veículo|Tombamento|Com Vítimas Feridas|Pleno dia|Nublado|1|0|1|0
260167|2020-01-01|quarta-feira|16:30:00|MG|381.0|CAMBUI|Falta de Atenção à Condução|Colisão traseira|Sem Vítimas|Pleno dia|Nublado|2|0|0|0
260168|2020-01-01|quarta-feira|16:15:00|SC|280.0|ARAQUARI|Falta de Atenção à Condução|Queda de ocupante de veículo|Com Vítimas Feridas|Pleno dia|Chuva|1|0|1|0
260169|2020-01-01|quarta-feira|16:40:00|SC|282.0|RANCHO QUEIMADO|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|1|0|0|1
260170|2020-01-01|quarta-feira|15:00:00|GO|153.0|HIDROLANDIA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Sol|1|0|1|0
260172|2020-01-01|quarta-feira|16:30:00|PE|408.0|PAUDALHO|Não guardar distância de segurança|Colisão traseira|Com Vítimas Feridas|Anoitecer|Céu Claro|3|0|2|0
260173|2020-01-01|quarta-feira|16:10:00|SC|282.0|JOACABA|Falta de Atenção à Condução|Colisão com objeto estático|Sem Vítimas|Pleno dia|Nublado|1|0|0|0
260174|2020-01-01|quarta-feira|16:30:00|PR|376.0|TIBAGI|Velocidade Incompatível|Saída de leito carroçável|Sem Vítimas|Pleno dia|Nublado|1|0|0|0
260175|2020-01-01|quarta-feira|15:30:00|PR|163.0|SANTA TEREZA DO OESTE|Avarias e/ou desgaste excessivo no pneu|Capotamento|Com Vítimas Feridas|Pleno dia|Chuva|2|0|1|0
260176|2020-01-01|quarta-feira|16:30:00|MA|135.0|SAO LUIS|Falta de Atenção à Condução|Colisão lateral|Sem Vítimas|Pleno dia|Nublado|2|0|0|0
260177|2020-01-01|quarta-feira|13:50:00|SC|163.0|DIONISIO CERQUEIRA|Avarias e/ou desgaste excessivo no pneu|Saída de leito carroçável|Sem Vítimas|Pleno dia|Chuva|4|0|0|0
260178|2020-01-01|quarta-feira|15:10:00|PB|230.0|CAMPINA GRANDE|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Fatais|Pleno dia|Chuva|1|1|0|0
260179|2020-01-01|quarta-feira|16:40:00|CE|20.0|CANINDE|Velocidade Incompatível|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Nublado|3|0|3|0
260180|2020-01-01|quarta-feira|17:30:00|PE|101.0|PALMARES|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Anoitecer|Céu Claro|2|0|1|0
260181|2020-01-01|quarta-feira|14:00:00|RJ|101.0|ANGRA DOS REIS|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Pleno dia|Nublado|3|0|1|1
260182|2020-01-01|quarta-feira|17:35:00|PI|343.0|ALTOS|Defeito na Via|Tombamento|Com Vítimas Feridas|Pleno dia|Garoa/Chuvisco|2|0|2|0
260183|2020-01-01|quarta-feira|17:30:00|SP|381.0|VARGEM|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|2|0
260184|2020-01-01|quarta-feira|17:10:00|PR|163.0|PLANALTO|Ingestão de Álcool|Colisão frontal|Com Vítimas Feridas|Pleno dia|Céu Claro|6|0|2|1
260185|2020-01-01|quarta-feira|15:20:00|SP|116.0|BARRA DO TURVO|Falta de Atenção à Condução|Capotamento|Com Vítimas Feridas|Pleno dia|Chuva|5|0|2|0
260186|2020-01-01|quarta-feira|17:20:00|MG|116.0|ITAOBIM|Falta de Atenção à Condução|Colisão transversal|Sem Vítimas|Pleno dia|Sol|2|0|0|0
260187|2020-01-01|quarta-feira|17:00:00|PR|277.0|BALSA NOVA|Velocidade Incompatível|Capotamento|Com Vítimas Feridas|Pleno dia|Chuva|2|0|1|0
260188|2020-01-01|quarta-feira|13:35:00|MT|158.0|BARRA DO GARCAS|Falta de Atenção à Condução|Capotamento|Com Vítimas Feridas|Pleno dia|Chuva|3|0|3|0
260189|2020-01-01|quarta-feira|17:45:00|SC|101.0|TUBARAO|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Pleno dia|Nublado|2|0|0|1
260190|2020-01-01|quarta-feira|17:50:00|MG|40.0|BELO HORIZONTE|Não guardar distância de segurança|Colisão traseira|Com Vítimas Feridas|Anoitecer|Nublado|2|0|0|1
260191|2020-01-01|quarta-feira|17:30:00|PR|467.0|CASCAVEL|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Nublado|3|0|0|2
260192|2020-01-01|quarta-feira|16:00:00|CE|20.0|CAUCAIA|Avarias e/ou desgaste excessivo no pneu|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Nublado|2|0|2|0
260193|2020-01-01|quarta-feira|18:00:00|GO|153.0|ANAPOLIS|Velocidade Incompatível|Colisão lateral|Com Vítimas Feridas|Anoitecer|Nublado|3|0|1|0
260194|2020-01-01|quarta-feira|17:45:00|PB|104.0|CAMPINA GRANDE|Ingestão de Álcool|Colisão transversal|Sem Vítimas|Anoitecer|Céu Claro|2|0|0|0
260195|2020-01-01|quarta-feira|16:30:00|MG|116.0|MANHUACU|Falta de Atenção à Condução|Capotamento|Sem Vítimas|Pleno dia|Sol|1|0|0|0
260196|2020-01-01|quarta-feira|14:45:00|MT|364.0|ROSARIO OESTE|Desobediência às normas de trânsito pelo condutor|Capotamento|Com Vítimas Feridas|Pleno dia|Nublado|3|0|2|0
260197|2020-01-01|quarta-feira|18:17:00|RN|101.0|RIO DO FOGO|Desobediência às normas de trânsito pelo condutor|Colisão traseira|Com Vítimas Feridas|Plena Noite|Vento|2|0|0|1
260198|2020-01-01|quarta-feira|17:50:00|PR|116.0|CAMPINA GRANDE DO SUL|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|2|0|1|0
260199|2020-01-01|quarta-feira|18:20:00|SP|116.0|SAO JOSE DOS CAMPOS|Falta de Atenção à Condução|Colisão lateral|Sem Vítimas|Anoitecer|Céu Claro|2|0|0|0
260200|2020-01-01|quarta-feira|15:00:00|RJ|101.0|ANGRA DOS REIS|Desobediência às normas de trânsito pelo condutor|Colisão lateral|Sem Vítimas|Pleno dia|Céu Claro|3|0|0|0
260201|2020-01-01|quarta-feira|15:55:00|SC|101.0|ARAQUARI|Não guardar distância de segurança|Engavetamento|Com Vítimas Feridas|Pleno dia|Nublado|4|0|1|1
260202|2020-01-01|quarta-feira|15:55:00|MG||SABARA|Defeito Mecânico no Veículo|Tombamento|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
260203|2020-01-01|quarta-feira|18:10:00|MG|40.0|RIBEIRAO DAS NEVES|Falta de Atenção do Pedestre|Atropelamento de Pedestre|Sem Vítimas|Plena Noite|Nublado|1|0|0|0
260204|2020-01-01|quarta-feira|14:50:00|SC|101.0|IMBITUBA|Defeito Mecânico no Veículo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Nublado|2|0|1|1
