id|data_inversa|dia_semana|horario|uf|br|municipio|causa_acidente|tipo_acidente|classificacao_acidente|fase_dia|condicao_metereologica|pessoas|mortos|feridos_leves|feridos_graves
265489|2020-01-20|segunda-feira|22:00:00|SC|470.0|RODEIO|Objeto estático sobre o leito carroçável|Colisão com objeto estático|Com Vítimas Feridas|Plena Noite|Nublado|1|0|0|1
265490|2020-01-27|segunda-feira|15:15:00|GO|20.0|FORMOSA|Falta de Atenção à Condução|Colisão frontal|Com Vítimas Feridas|Pleno dia|Chuva|2|0|0|1
265491|2020-01-27|segunda-feira|09:00:00|GO|364.0|MINEIROS|Velocidade Incompatível|Saída de leito carroçável|Sem Vítimas|Pleno dia|Sol|1|0|0|0
265492|2020-01-27|segunda-feira|15:40:00|ES|101.0|SAO MATEUS|Pista Escorregadia|Colisão frontal|Com Vítimas Feridas|Pleno dia|Chuva|2|0|0|1
265493|2020-01-27|segunda-feira|15:30:00|GO|153.0|ANAPOLIS|Velocidade Incompatível|Capotamento|Com Vítimas Feridas|Pleno dia|Chuva|2|0|1|1
265495|2020-01-27|segunda-feira|15:45:00|BA|324.0|FEIRA DE SANTANA|Pista Escorregadia|Derramamento de carga|Com Vítimas Feridas|Pleno dia|Céu Claro|3|0|1|0
265496|2020-01-27|segunda-feira|07:15:00|MT|364.0|CUIABA|Não guardar distância de segurança|Colisão transversal|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
265497|2020-01-27|segunda-feira|15:32:00|PB|230.0|CABEDELO|Desobediência às normas de trânsito pelo condutor|Colisão transversal|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|0|1
265498|2020-01-27|segunda-feira|16:30:00|PE|101.0|JABOATAO DOS GUARARAPES|Agressão Externa|Queda de ocupante de veículo|Com Vítimas Feridas|Pleno dia|Sol|1|0|0|1
265499|2020-01-27|segunda-feira|16:00:00|SC|101.0|SAO JOSE|Falta de Atenção à Condução|Colisão traseira|Com Vítimas Feridas|Pleno dia|Chuva|2|0|0|2
265500|2020-01-27|segunda-feira|15:10:00|RJ|101.0|PARATY|Ultrapassagem Indevida|Colisão lateral|Com Vítimas Feridas|Pleno dia|Sol|3|0|1|1
265501|2020-01-27|segunda-feira|15:00:00|AP|156.0|TARTARUGALZINHO|Pista Escorregadia|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Chuva|4|0|3|1
265502|2020-01-27|segunda-feira|16:00:00|RJ|116.0|MAGE|Falta de Atenção à Condução|Colisão traseira|Sem Vítimas|Pleno dia|Céu Claro|4|0|0|0
265503|2020-01-27|segunda-feira|13:40:00|MG|116.0|ITAOBIM|Velocidade Incompatível|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
265504|2020-01-27|segunda-feira|14:05:00|MG|381.0|SAO GONCALO DO RIO ABAIXO|Falta de Atenção à Condução|Colisão lateral|Com Vítimas Feridas|Pleno dia|Nublado|3|0|1|0
265505|2020-01-27|segunda-feira|13:10:00|RJ|101.0|SAO GONCALO|Mal Súbito|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
